id,source,tier,program,result,season,gpa,gpa_scale,gre_quant,gre_verbal,toefl,undergrad_school,undergrad_tier,undergrad_country,major,major_relevance,intern_count,intern_level,intern_relevance,has_paper,has_research,research_level,gender,nationality,raw_text
8ca4ae7a230b,1p3a-offer,D,columbia-msfe,waitlisted,2023 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN Waiting 2023 Fall 2023-02-21 2022-12-27 网申 0
858d4fda8f28,1p3a-offer,D,columbia-msfe,accepted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN AD无奖 2022 Fall 2022-03-30 2022-02-02 邮件 0 自费AD
c16af2c484bd,1p3a-offer,D,columbia-msfe,rejected,2022 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN Reject 2022 Fall 2022-03-29 2022-01-23 邮件 0
be8f5a330c7f,1p3a-offer,D,columbia-msfe,waitlisted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MA in Mathematics of Finance Waiting 2022 Fall 2022-03-24 2021-12-14 邮件 0
2ce5dcf7f1de,1p3a-offer,D,columbia-msfe,accepted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN AD无奖 2021 Fall 2020-03-03 2020-01-01 邮件 0
28b4faee0f4f,1p3a-offer,D,columbia-msfe,rejected,2021 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN Reject 2021 Fall 2021-06-02 2020-12-12 邮件 0
9aaed3f7c50d,1p3a-offer,D,columbia-msfe,accepted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN AD无奖 2020 Fall 2020-06-04 2020-02-05 邮件 0 全奖Offer
10c8abbd921c,1p3a-offer,D,columbia-msfe,waitlisted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN Waiting 2020 Fall 2020-03-31 邮件 0 自费AD
c0bff39ea94a,1p3a-offer,D,columbia-msfe,rejected,2020 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN Reject 2020 Fall 2020-04-30 2020-04-08 网申 0 自费AD
d8b8769978b2,1p3a-offer,D,columbia-msfe,,2020 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN Offer 2020 Fall 2020-02-04 2019-11-06 网申 0 自费AD
ab36d272be82,1p3a-offer,D,cornell-mfe,rejected,2024 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL Financial Engineering Concentration and Cornell Financial Engineering Manhattan Reject 2024 Fall 2024-04-23 2022-11-24 邮件 0
291111b4b3a3,1p3a-offer,D,cornell-mfe,rejected,2023 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL Financial Engineering Concentration and Cornell Financial Engineering Manhattan Reject 2023 Fall 2023-03-15 2022-12-01 邮件 0
ab519a3fcadf,1p3a-offer,D,cornell-mfe,accepted,2023 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL Financial Engineering Concentration and Cornell Financial Engineering Manhattan AD小奖 2023 Fall 2023-01-20 2022-12-01 邮件 0
50314d02c650,1p3a-offer,D,cornell-mfe,accepted,2023 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL CFEM AD无奖 2023 Fall 2023-02-03 2022-11-24 邮件 0
d144b2915e66,1p3a-offer,D,cornell-mfe,rejected,2022 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL Financial Engineering Concentration and Cornell Financial Engineering Manhattan Reject 2022 Fall 2022-04-06 2021-12-01 邮件 0
18fda7cf2973,1p3a-offer,D,cornell-mfe,waitlisted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL CFEM Waiting 2022 Fall 2022-04-06 2021-12-01 邮件 0
e3660c2bf112,1p3a-offer,D,cornell-mfe,accepted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL Financial Engineering Concentration and Cornell Financial Engineering Manhattan AD无奖 2022 Fall 2022-03-05 2021-12-01 邮件 0
253cf621e2ba,1p3a-offer,D,cornell-mfe,accepted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL Financial Engineering Concentration and Cornell Financial Engineering Manhattan AD无奖 2021 Fall 2021-02-05 2020-12-01 邮件 0
224f14205ad4,1p3a-offer,D,cornell-mfe,rejected,2021 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL Financial Engineering Concentration and Cornell Financial Engineering Manhattan Reject 2021 Fall 2021-03-29 2020-11-29 邮件 0
0c9357809cc4,1p3a-offer,D,cornell-mfe,waitlisted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL CFEM Waiting 2021 Fall 2021-03-05 2020-12-17 邮件 0
30bbeab51b45,1p3a-offer,D,cornell-mfe,accepted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL CFEM AD小奖 2021 Fall 2021-01-28 2020-12-01 邮件 0
9d6a06dc9b56,1p3a-offer,D,cornell-mfe,accepted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL CFEM AD无奖 2020 Fall 2020-06-02 2019-11-29 邮件 0 自费AD
a1c507c15747,1p3a-offer,D,cornell-mfe,accepted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL CFEM AD小奖 2020 Fall 2020-05-16 2019-12-15 邮件 0 自费AD
b9da7fd13a8f,1p3a-offer,D,cornell-mfe,rejected,2020 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL CFEM Reject 2020 Fall 2020-03-27 2019-12-15 邮件 0 自费AD
1c4f1b06de1c,1p3a-offer,D,cornell-mfe,waitlisted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,180 CORNELL CFEM Waiting 2020 Fall 2020-03-16 其他 0 自费AD
b2edbae53617,1p3a-offer,D,gatech-qcf,accepted,2025 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH MS in Quantitative and Computational Finance AD无奖 2025 Fall 2025-01-10 2025-12-16 邮件 0
4a1b90e6c35f,1p3a-offer,D,gatech-qcf,accepted,2024 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH QCF AD无奖 2024 Fall 2024-01-17 2023-12-04 网申 0
7178bc6d71f2,1p3a-offer,D,gatech-qcf,accepted,2023 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH MS in Quantitative and Computational Finance AD无奖 2023 Fall 2023-05-23 2023-03-23 邮件 0
5f7c204f0fb4,1p3a-offer,D,gatech-qcf,rejected,2023 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH MS in Quantitative and Computational Finance Reject 2023 Fall 2023-05-13 2023-01-13 邮件 0
95d65f3bcb3c,1p3a-offer,D,gatech-qcf,accepted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH QCF AD无奖 2022 Fall 2022-03-18 0 自费AD
90e53a1c631d,1p3a-offer,D,gatech-qcf,rejected,2022 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH MS in Quantitative and Computational Finance Reject 2022 Fall 2022-02-18 2022-02-09 邮件 0
180535f7372e,1p3a-offer,D,gatech-qcf,waitlisted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH MS in Quantitative and Computational Finance Waiting 2022 Fall 2021-12-10 2021-10-14 邮件 0
14b9b0c003ac,1p3a-offer,D,gatech-qcf,accepted,2022 Spring,,,,,,,,,,,,,,,,,,chinese,230 GATECH QCF AD无奖 2022 Spring 2021-11-01 2021-08-31 邮件 0
2d27205ac071,1p3a-offer,D,gatech-qcf,accepted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH MS in Quantitative and Computational Finance AD无奖 2021 Fall 2021-04-21 2021-03-15 网申 0
0f88cf94b2dc,1p3a-offer,D,gatech-qcf,rejected,2021 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH QCF Reject 2021 Fall 2021-04-16 2021-01-15 邮件 0
e74eda762fde,1p3a-offer,D,gatech-qcf,waitlisted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH QCF Waiting 2021 Fall 2021-03-12 2021-01-15 邮件 0
72ecac681f7f,1p3a-offer,D,gatech-qcf,accepted,2021 Spring,,,,,,,,,,,,,,,,,,chinese,230 GATECH QCF AD无奖 2021 Spring 2020-11-11 2020-04-15 邮件 0
506dc9ef5765,1p3a-offer,D,gatech-qcf,accepted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH Quantitative and Computational Finance AD无奖 2020 Fall 2020-07-23 邮件 0 自费AD
2ec23257058e,1p3a-offer,D,gatech-qcf,rejected,2020 Fall,,,,,,,,,,,,,,,,,,chinese,230 GATECH Quantitative and Computational Finance Reject 2020 Fall 2020-04-30 2020-01-07 网申 0 自费AD
530b65112669,1p3a-offer,D,mit-mfin,accepted,2024 Fall,,,,,,,,,,,,,,,,,,chinese,324 MIT Finance AD无奖 2024 Fall 2024-03-08 2024-01-03 0 自费AD
ed675880f8f0,1p3a-offer,D,mit-mfin,rejected,2023 Fall,,,,,,,,,,,,,,,,,,chinese,324 MIT Master of Finance Reject 2023 Fall 2023-01-26 2023-01-08 网申 0
32048ac14e24,1p3a-offer,D,mit-mfin,accepted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,324 MIT Finance AD无奖 2022 Fall 2022-03-15 2021-11-30 邮件 0
d0381fad9ef3,1p3a-offer,D,mit-mfin,rejected,2022 Fall,,,,,,,,,,,,,,,,,,chinese,324 MIT Finance Reject 2022 Fall 2022-01-26 2022-01-03 网申 0
7b0e8c272c1d,1p3a-offer,D,mit-mfin,accepted,2022 Summer,,,,,,,,,,,,,,,,,,chinese,324 MIT Finance AD无奖 2022 Summer 2022-03-09 2022-01-04 电话 0
6ffbc3ccc0da,1p3a-offer,D,mit-mfin,waitlisted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,324 MIT Finance Waiting 2022 Fall 2022-03-10 2022-01-05 邮件 0
20a9b6d575c3,1p3a-offer,D,mit-mfin,rejected,2021 Fall,,,,,,,,,,,,,,,,,,chinese,324 MIT Finance Reject 2021 Fall 2021-02-19 2021-01-03 邮件 0
3253e6fee33b,1p3a-offer,D,mit-mfin,accepted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,324 MIT Finance AD无奖 2021 Fall 2021-03-10 2021-01-05 电话 0
ca3bfcb0dc02,1p3a-offer,D,mit-mfin,accepted,2021 Summer,,,,,,,,,,,,,,,,,,chinese,324 MIT Finance AD小奖 2021 Summer 2021-03-12 2021-01-05 网申 0
